timestamp,y_true,yhat,resid,z_resid,flag_z,flag_cusum
2020-03-14 04:00:00+00:00,,49113.65074701841,,,False,False
2020-03-14 05:00:00+00:00,,49067.99841468861,,,False,False
2020-03-14 06:00:00+00:00,,49054.66841529683,,,False,False
2020-03-14 07:00:00+00:00,,49050.77619611072,,,False,False
2020-03-14 08:00:00+00:00,,49049.63970917268,,,False,False
2020-03-14 09:00:00+00:00,,49049.30786697712,,,False,False
2020-03-14 10:00:00+00:00,,49049.21097255707,,,False,False
2020-03-14 11:00:00+00:00,,49049.18268040869,,,False,False
2020-03-14 12:00:00+00:00,,49049.17441939985,,,False,False
2020-03-14 13:00:00+00:00,,49049.17200727243,,,False,False
2020-03-14 14:00:00+00:00,,49049.17130295667,,,False,False
2020-03-14 15:00:00+00:00,,49049.17109730389,,,False,False
2020-03-14 16:00:00+00:00,,49049.17103725545,,,False,False
2020-03-14 17:00:00+00:00,,49049.17101972194,,,False,False
2020-03-14 18:00:00+00:00,,49049.17101460235,,,False,False
2020-03-14 19:00:00+00:00,,49049.17101310748,,,False,False
2020-03-14 20:00:00+00:00,,49049.171012671,,,False,False
2020-03-14 21:00:00+00:00,,49049.17101254354,,,False,False
2020-03-14 22:00:00+00:00,,49049.171012506325,,,False,False
2020-03-14 23:00:00+00:00,,49049.17101249546,,,False,False
2020-03-15 00:00:00+00:00,,49049.17101249229,,,False,False
2020-03-15 01:00:00+00:00,,49049.171012491366,,,False,False
2020-03-15 02:00:00+00:00,,49049.1710124911,,,False,False
2020-03-15 03:00:00+00:00,,49049.17101249102,,,False,False
